,직종코드,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,,,,
1,카테고리 ID,1 depth,2 depth,3_depth
2,01,경영·사무·금융·보험, , 
3,011, ,행정·경영·금융·보험 관리직, 
4,011100, , ,의회의원·고위공무원 및 공공단체임원
5,011200, , ,기업 고위임원
6,012100, , ,정부행정 관리자
7,012200, , ,경영지원 관리자
8,012201, , ,경영기획 부서장
9,012202, , ,인사·노무·교육·총무·감사 부서장
10,012203, , ,자재·구매 부서장
11,012204, , ,재무·회계·경리 부서장
12,012205, , ,기타 경영지원 서비스 관리자
13,012300, , ,마케팅·광고·홍보 관리자(부서장)
14,012400, , ,금융·보험 관리자(부서장)
15,012, ,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직, 
16,013100, , ,연구 관리자
17,013200, , ,교육 관리자(부서장)
18,013300, , ,법률·경찰·소방·교도 관리자
19,013400, , ,보건·의료 관리자(부서장)
20,013500, , ,사회복지 관리자(부서장)
21,013600, , ,예술·디자인·방송 관리자(부서장)
22,013700, , ,정보통신 관리자(부서장)
23,013900, , ,부동산·조사·인력알선 및 기타 전문서비스 관리자
24,013901, , ,부동산·임대업 관리자
25,013902, , ,아파트 관리소장
26,013903, , ,빌딩 관리소장
27,013904, , ,"조사, 인력공급·알선 및 기타 전문서비스 관리자(부서장)"
28,014100, , ,미용·여행·숙박·스포츠 관리자
29,013, ,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직, 
30,014101, , ,미용·여행·숙박 관리자
31,014102, , ,스포츠 관리자
32,014200, , ,음식서비스 관리자
33,014300, , ,경비·청소 관리자
34,014301, , ,경비 관리자
35,014302, , ,환경·청소 관리자
36,015100, , ,영업·판매 관리자
37,015101, , ,영업 관리자(영업소장·지점장)
38,015102, , ,판매 관리자(소규모 판매점장 제외)
39,015200, , ,운송 관리자(부서장)
40,015900, , ,각종 단체 및 기타 고객서비스 관리자
41,014, ,건설·채굴·제조·생산 관리직, 
42,016100, , ,건설·채굴 관리자(부서장)
43,016200, , ,전기·가스·수도 관리자(부서장)
44,016300, , ,제조·생산 관리자
45,016301, , ,기계·금속·비금속 제조 관리자(공장장)
46,016302, , ,화학 제조 관리자(공장장)
47,016303, , ,섬유·의류 제조 관리자(공장장)
48,016304, , ,전기·전자 제조 관리자(공장장)
49,016305, , ,식품가공 제조 관리자(공장장)
50,016306, , ,기타 제품 제조 관리자(공장장)
51,016900, , ,기타 건설·전기 및 제조 관리자
52,016901, , ,수리·정비 관리자(부서장)
53,016902, , ,농림어업 및 기타 생산 관리자
54,015, ,행정·경영·회계·광고·상품기획 전문가, 
55,021000, , ,정부·공공행정 전문가
56,022100, , ,경영 컨설턴트(M&A·창업·인증심사·FTA)
57,022201, , ,인사·노무 전문가
58,022202, , ,HRD·교육·훈련 전문가
59,023100, , ,회계사
60,023200, , ,세무사
61,023301, , ,관세사
62,023302, , ,FTA 원산지관리사
63,023400, , ,감정 전문가
64,023401, , ,감정평가사
65,023402, , ,감정사(문화재·보석·문서·음식료품 및 조향사)
66,024101, , ,광고·홍보 전문가
67,024102, , ,마케팅 전문가
68,024200, , ,조사 전문가
69,024301, , ,상품 기획자
70,024302, , ,머천다이저(MD)
71,024400, , ,행사 기획자
72,024401, , ,행사·이벤트 기획자
73,024402, , ,전시·회의 기획자
74,231400, , ,직업상담사
75,016, ,정부·공공행정 사무, 
76,025100, , ,조세행정 사무원
77,025200, , ,관세행정 사무원
78,025300, , ,병무행정 사무원
79,025401, , ,국가·지방행정 사무원
80,025402, , ,군무원
81,025500, , ,공공행정 사무원
82,026100, , ,기획·마케팅 사무원
83,017, ,경영지원 사무, 
84,026101, , ,경영 기획 사무원
85,026102, , ,마케팅·광고·홍보·상품기획 사무원
86,026103, , ,영업 기획·관리·지원 사무원
87,026104, , ,분양·임대 사무원
88,026200, , ,인사·교육·훈련 사무원
89,026201, , ,인사 사무원
90,026202, , ,노무 사무원
